Code,Entity,Instances,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv
RUS,Russia,17,8.88468,12.294705,23.1,2.03,3.77,12.41,1.449,25437.107,5.945,73.1541,100,29.2,94.5,24.33,51.41,3.25,0.484
RWA,Rwanda,17,35.65776,0.14263947,73.2,3.34,0.87,4.88,3.698,2198.0662,3.268,67.7852,79,14.3,99.857,19.68,53.359997,25,0.311
KNA,Saint Kitts and Nevis,9,8.05126,5.542429,61.9,,0.19,10.8494005,1.505,,,72.1447,,,,21.199999,48.57,,
LCA,Saint Lucia,12,8.97661,2.9869597,77,,0.17,8.614167,1.379,10452.165,,72.6968,,13.8,,21.199999,48.57,5.81,
VCT,Saint Vincent and the Grenadines,10,9.41283,2.5405643,94,,0,11.29535,1.775,,,71.2301,,,,21.199999,48.57,5.25,
WSM,Samoa,12,7.77989,1.1263857,20.9,,0.12,11.332984,3.829,,,71.6982,97.99026,22.5,,16.03,48.41,8.18,
SMR,San Marino,9,9.84868,,62.7,,0.09,11.36,1.149,,,85.7062,100,,,11.5,35.670002,,
STP,Sao Tome and Principe,15,33.74991,0.6019113,51.4,,0.13,5.9875593,3.644,3751.6428,,69.7182,87.43846,7.8,99.333,15.780001,49.99,16.65,0.868
SAU,Saudi Arabia,17,57.15638,20.379194,29.2,2.08,0.08,11.606428,2.28,53516.91,6.6,78.7321,98,14.9,88.333,24.89,54.7,1.93,0.201
SEN,Senegal,17,38.21284,0.76163954,122.9,5.93,0.03,2.934554,3.818,2660.6816,4.856,68.6829,50.35582,6.5,82.25,12.85,45.030003,31.75,0.782
SRB,Serbia,17,21.73909,6.237839,43.9,6.26,1.22,11.641718,1.5,17097.686,6.606,76.7693,99,39.5,94.875,13.04,36.829998,3.86,0.819
SYC,Seychelles,14,16.95663,5.002998,56.7,,0.58,11.19995,2.133,31055.39,,72.862,,20.2,95.75,21.539999,52.19,8.35,0.932
SLE,Sierra Leone,17,39.4217,0.165966,41.2,4.32,0.03,3.5352976,3.791,1690.4982,2.998,61.7858,43.57778,12.9,96.6,14.78,46.239998,69.54,0.782
SGP,Singapore,17,13.33302,9.244836,175.6,6.18,0.62,11.99,0.943,80320.086,6.565,83.7362,98,16.4,99.167,13.62,45.170002,8.49,0.731
SVK,Slovakia,16,15.89146,5.282773,59.6,7.21,0.32,13.103204,1.56,27519.287,6.221,78.3414,,32.4,99.833,9.95,28.64,3.62,0.918
SVN,Slovenia,16,14.07638,6.0184274,66.6,7.82,2.81,12.951202,1.576,32673.762,6.792,81.6034,,20.1,99.571,7.8599997,29.44,1.9,0.923
SLB,Solomon Islands,13,7.8289,0.3596751,23.7,,0.12,5.87968,3.557,,,70.5277,,36.9,93.6,16.03,48.41,32.68,0.7
SOM,Somalia,13,14.27733,0.06939735,,,0.54,1.9,6.132,,4.347,58.8158,54,,64,16.04,48.53,99.19,0.213
ZAF,South Africa,17,19.74802,6.8715796,77.3,7.16,2.03,11.61,2.216,11415.887,5.213,66.1387,90,20.7,96.429,19.220001,65.08,27.59,0.784
KOR,South Korea,16,24.03774,11.285893,53.4,7.75,0.13,12.7221985,0.72,41320.9,6.038,84.3288,,20,98.875,16.150002,36.89,5.2,0.907
SSD,South Sudan,13,20.18219,0.14196548,66,,0.39,5.73,3.864,,2.8166,57.6174,,,80.5,15.24,49.51,68.08,0.173
ESP,Spain,17,9.3416,4.599015,100.4,8.13,2.08,10.7561245,1.213,34123.387,6.466,83.6703,100,28.4,99.909,12.04,33.73,3.17,0.958
LKA,Sri Lanka,17,23.87759,0.90139973,100.8,6.19,0.57,10.77,1.974,10705.481,3.891,77.4828,92,19.5,99,21.39,49.34,4.83,0.727
SDN,Sudan,14,21.42613,0.35272878,221.5,1.46,1.04,3.962,4.323,,4.139,66.331,,,57.6,15.11,44.32,15.78,0.103
