Code,Rank,True Rank,Entity,Instances,Accuracy,Value,airPollution.csv,co2PerCapita.csv,debtToGdp.csv,democracyIndex.csv,drugUse.csv,education.csv,fertility.csv,gdpPerCapita.csv,happiness.csv,lifeExpectancy.csv,literacy.csv,smoking.csv,territoryControl.csv,topOneIncome.csv,topTenIncome.csv,waterSanitationHygiene.csv,womensCivilRights.csv,corruption.csv,freedom.csv,undernourishment.csv
GMB,134,164,Gambia,20,100.0,43.52533782636788,39.10354,0.29086024,74.4,4.47,0.03,4.674727,4.006,2010.5322,4.423,65.8603,51.6374,10.5,94.6,15.700001,47.29,29.53,0.824,0.27,50,20.5
GEO,55,76,Georgia,20,100.0,67.913332515999,19.06419,3.0948753,34.2,4.7,0.71,12.7,1.81,14360.359,5.4,74.4965,100,31.8,83.143,18.33,44.64,3.35,0.81,0.188,55,4
DEU,11,13,Germany,20,100.0,83.38759834685685,10.73096,6.7688236,64.4,8.73,1.86,14.296371,1.441,46647.793,6.753,81.3777,100,21.3,99.667,12.720001,36.73,3.17,0.971,0.02,95,2.5
GHA,102,130,Ghana,20,100.0,56.20688257978939,46.04334,0.6106143,59.1,6.24,0.02,7.10721,3.397,4242.4106,4.34,65.4979,76.48568,3.4,95.556,15.080001,48.52,25.16,0.83,0.644,80,6.2
GRC,41,54,Greece,20,100.0,73.77455156193162,14.62251,5.310692,146.7,8.07,2.91,11.553857,1.334,25283.906,5.776,81.8568,100,32.8,99.143,14.33,35.13,7.63,0.898,0.238,85,2.5
GRD,37,48,Grenada,12,60.0,75.13922760941306,10.08384,3.2159822,67.7,,0.49,9.4464,1.487,,,75.2052,99,,,21.199999,48.57,6.68,,,89,
GTM,109,138,Guatemala,20,100.0,53.79534799000653,20.74787,1.0800844,27,4.55,1.19,5.8473,2.311,7969.431,6.362,72.6023,83.03117,11.9,89.167,17.87,51.81,15.27,0.44,0.707,48,12.6
GIN,158,189,Guinea,19,95.0,36.4110990141715,37.57394,0.27287328,42.2,2.04,0.02,2.486339,4.217,1809.2666,4.929,60.7405,40,,90,8.55,37.22,57.76,0.212,0.86,30,10.3
GNB,156,187,Guinea-Bissau,19,95.0,36.71452309922182,34.84998,0.15544437,76.2,2.03,0.03,3.673035,3.836,1625.3876,,64.0849,63.93413,8.2,78.75,10.84,41.38,49.45,0.632,0.805,41,32.2
GUY,60,82,Guyana,18,90.0,67.55303546619608,11.10584,5.4269924,29,6.11,0,8.70243,2.412,,,70.1802,85.63835,11.1,95,17.87,51.81,8.57,0.727,0.429,74,2.5
HTI,151,181,Haiti,20,100.0,38.82941396322151,9.69133,0.2523404,11.8,2.74,0.37,5.3823,2.656,1546.4222,3.615,64.9356,68.00986,8.1,59.5,17.87,51.81,25.94,0.269,0.774,24,50.4
HND,105,133,Honduras,20,100.0,55.250820783998776,18.93138,1.187437,45.1,4.98,0.7,7.510229,2.5,5186.5303,5.964,72.8842,89,12.3,88.5,17.87,51.81,7.13,0.684,0.746,48,20.4
HUN,44,58,Hungary,20,100.0,73.33423917213754,14.24457,4.135669,74.8,6.51,0.34,12.331622,1.486,29451.855,5.915,77.024,99,32.2,100,9.91,33.5,2.02,0.873,0.495,65,2.5
ISL,6,6,Iceland,20,100.0,86.07824450441845,5.78865,9.666935,47.4,9.38,8.29,13.908926,1.54,42145.594,7.515,82.6911,100,9.4,99.833,8.1,28.240002,2.36,0.927,0.022,95,2.5
